course_id,room_id,day,period
c0012,51,0,0
c0012,36,3,3
c0012,36,4,2
c0013,36,1,0
c0013,36,3,0
c0013,36,4,1
c0035,36,0,4
c0035,37,1,0
c0035,37,2,2
c0036,37,4,1
c0036,38,2,3
c0036,52,3,3
c0045,H,4,4
c0045,51,4,2
c0045,DS1,0,0
c0052,A,2,2
c0052,F,3,3
c0052,E,1,4
c0053,DS1,0,2
c0053,DS2,4,2
c0053,DS1,2,0
c0055,DS1,0,4
c0055,DS1,2,3
c0055,DS1,3,2
c0057,51,4,3
c0057,DS1,0,1
c0057,DS1,1,2
c0060,A,3,1
c0060,B,1,1
c0060,E,4,4
c0094,51,3,2
c0094,51,4,0
c0094,D,1,0
c0098,51,4,4
c0098,D,3,4
c0098,DS1,1,3
c0104,DS1,1,4
c0104,DS1,2,1
c0104,DS1,3,3
c0107,D,2,2
c0107,E,0,0
c0107,H,0,3
c0112,D,2,3
c0112,E,0,1
c0112,E,1,2
c0114,DS1,4,3
c0114,DS2,0,1
c0114,DS1,3,1
c0116,D,4,3
c0116,E,2,1
c0116,D,2,0
c0117,D,0,0
c0117,D,3,1
c0117,D,3,0
c0130,B,4,0
c0130,D,3,2
c0130,D,3,3
c0148,E,4,1
c0148,E,4,2
c0148,E,4,3
c0149,D,4,4
c0149,H,0,1
c0149,D,2,4
c0150,D,0,2
c0150,D,1,2
c0150,D,0,3
c0177,D,2,1
c0177,D,1,1
c0177,D,4,1
c0179,A,4,0
c0179,B,0,0
c0179,B,3,1
c0181,D,0,1
c0181,B,2,2
c0181,B,3,2
c0198,D,4,0
c0198,DS1,0,3
c0198,DS1,1,1
c0210,F,1,1
c0210,F,2,1
c0210,F,0,1
c0214,B,1,0
c0214,E,4,0
c0214,B,3,0
c0218,A,4,3
c0218,B,0,2
c0218,B,1,2
c0223,A,4,4
c0223,B,1,4
c0223,B,2,4
c0224,L,2,0
c0224,A,3,2
c0224,B,0,1
c0226,D,0,4
c0226,L,3,3
c0226,E,0,3
c0227,DS2,2,1
c0227,F,3,1
c0227,DS2,0,3
c0441,31,4,0
c0441,31,0,3
c0441,31,3,2
c0441,31,3,3
c0441,31,4,1
c0249,31,0,4
c0249,31,1,2
c0249,31,2,0
c0254,A,0,4
c0254,A,1,2
c0254,A,2,3
c0271,A,2,4
c0271,A,3,4
c0271,A,4,1
c0343,38,2,1
c0343,38,3,3
c0343,38,4,0
c0344,52,4,1
c0344,DS2,3,1
c0344,52,3,2
c0378,B,4,2
c0378,F,3,0
c0378,L,4,3
c0409,36,1,1
c0409,38,4,3
c0409,50,0,2
c0411,B,4,4
c0411,D,1,3
c0411,D,1,4
c0457,36,0,2
c0457,36,0,1
c0457,50,2,3
c0497,36,4,3
c0497,37,0,1
c0497,37,1,2
c0503,27,4,2
c0503,51,2,2
c0503,51,3,0
c0503,52,1,3
c0503,27,4,3
c0506,36,2,0
c0506,36,3,4
c0506,36,2,3
c0527,38,3,2
c0527,38,1,1
c0527,38,4,4
c0532,38,3,4
c0532,50,2,1
c0532,38,0,2
c0534,31,1,0
c0534,27,2,1
c0534,50,3,3
c0465,51,0,1
c0465,51,1,0
c0465,51,2,0
c0465,51,3,3
c0465,L,2,3
c0737,37,3,2
c0737,50,2,2
c0737,DS2,3,3
c0771,27,4,4
c0771,31,0,0
c0771,27,2,0
c0771,31,0,2
c0883,25,0,0
c0883,E,2,2
c0883,DS2,2,3
c0883,31,2,1
c0883,25,0,4
c0883,25,1,0
c0883,25,1,1
c0884,31,3,1
c0884,25,1,3
c0884,25,1,4
c0884,25,2,0
c0884,DS1,1,0
c0884,25,2,2
c0884,25,2,3
c0901,B,3,4
c0901,E,2,4
c0901,F,4,3
c0917,36,1,4
c0917,37,2,0
c0917,37,3,4
c0918,37,3,3
c0918,37,2,1
c0918,37,4,0
c0933,37,4,3
c0933,37,0,2
c0933,37,4,2
c0938,36,1,2
c0938,36,3,2
c0938,37,2,3
c0953,27,1,2
c0953,27,1,3
c0953,27,1,4
c0953,31,0,1
c0953,H,1,1
c0953,27,2,2
c0953,27,2,3
c0969,L,2,1
c0969,25,3,0
c0969,25,3,1
c0969,25,3,2
c0969,25,3,3
c0969,25,3,4
c0969,25,4,0
c0972,52,2,3
c0972,25,4,2
c0972,E,1,1
c0972,E,0,2
c0972,52,2,1
c0972,27,3,0
c0972,27,3,1
c0978,27,0,0
c0978,52,3,1
c0978,27,0,2
c0978,27,0,3
c0978,27,0,4
c0978,F,1,4
c0978,27,1,1
c0995,36,1,3
c0995,37,0,0
c0995,37,3,0
c1007,B,1,3
c1007,B,2,3
c1007,B,3,3
c0923,H,3,1
c0923,31,1,3
c0923,25,4,1
c0923,31,1,4
c0923,25,4,4
c0798,31,1,1
c0798,31,3,4
c0798,36,2,1
c0798,36,4,0
c0798,36,0,3
c0741,A,0,2
c0741,A,1,1
c0741,A,2,1
c0741,A,0,0
c0741,A,0,3
c0196,51,1,3
c0196,51,2,1
c0196,51,3,1
c0196,52,0,3
c0196,51,1,4
c0014,52,0,2
c0014,52,1,1
c0014,B,2,1
c0014,52,3,4
c0014,L,0,4
c0233,F,1,2
c0233,A,1,0
c0233,A,2,0
c0233,A,3,0
c0233,A,0,1
c0828,31,4,2
c0828,31,2,2
c0828,31,2,3
c0828,31,2,4
c0828,31,4,3
c0456,27,3,2
c0456,DS1,2,4
c0456,51,0,4
c0456,51,1,2
c0456,27,3,3
c0535,27,3,4
c0535,27,4,0
c0535,51,0,3
c0535,51,1,1
c0535,51,0,2
c0510,51,2,3
c0510,51,4,1
c0510,52,0,1
c0510,52,1,0
c0510,51,2,4
c0909,31,4,4
c0909,38,2,2
c0909,38,1,3
