course_id,room_id,day,period
c0012,52,3,3
c0012,52,1,2
c0012,52,2,3
c0013,DS2,1,1
c0013,DS2,4,1
c0013,DS2,2,4
c0014,38,3,4
c0014,51,0,0
c0014,38,1,3
c0035,52,3,1
c0035,52,0,3
c0035,52,2,4
c0036,38,1,1
c0036,38,2,1
c0036,38,0,1
c0045,B,2,3
c0045,D,0,1
c0045,D,1,4
c0052,A,3,1
c0052,A,4,1
c0052,B,2,1
c0055,50,4,0
c0055,51,0,3
c0055,51,1,1
c0057,50,4,1
c0057,51,0,2
c0057,51,1,3
c0060,B,0,4
c0060,D,2,0
c0060,DS1,1,2
c0094,D,0,4
c0094,D,1,0
c0094,D,3,4
c0098,DS1,1,0
c0098,DS1,2,0
c0098,DS1,3,0
c0104,DS1,0,4
c0104,DS1,1,1
c0104,DS1,2,1
c0107,D,1,1
c0107,D,2,4
c0107,DS1,3,3
c0112,DS1,0,3
c0112,DS1,2,3
c0112,G,1,2
c0114,B,4,4
c0114,DS1,2,2
c0114,F,0,3
c0116,A,2,2
c0116,A,3,2
c0116,A,4,2
c0117,A,2,3
c0117,A,3,3
c0117,A,4,3
c0130,D,2,3
c0130,F,1,2
c0130,F,1,3
c0148,B,2,4
c0148,D,3,0
c0148,D,4,0
c0149,D,3,1
c0149,F,0,1
c0149,F,4,1
c0150,D,3,2
c0150,D,4,2
c0150,B,4,3
c0163,D,4,1
c0163,D,1,2
c0163,D,4,3
c0177,DS1,0,0
c0177,DS1,1,4
c0177,DS1,4,1
c0179,DS1,0,1
c0179,F,2,3
c0179,F,3,3
c0181,A,1,3
c0181,A,2,4
c0181,F,0,4
c0198,DS1,3,1
c0198,DS1,4,3
c0198,F,2,1
c0210,A,1,4
c0210,B,0,0
c0210,B,2,0
c0214,B,1,3
c0214,B,3,0
c0214,B,4,0
c0218,A,4,4
c0218,B,0,2
c0218,B,1,1
c0223,B,3,4
c0223,D,0,3
c0223,D,2,1
c0224,B,0,1
c0224,B,1,0
c0224,B,2,2
c0226,B,1,2
c0226,B,3,1
c0226,B,4,1
c0227,DS1,1,3
c0227,DS1,2,4
c0227,DS1,3,2
c0233,38,0,0
c0233,38,1,2
c0233,38,2,3
c0249,50,0,4
c0249,50,1,2
c0249,50,4,2
c0254,B,0,3
c0254,B,1,4
c0254,B,3,2
c0271,B,3,3
c0271,B,4,2
c0271,D,1,3
c0409,37,0,1
c0409,37,3,1
c0409,37,4,3
c0416,37,4,4
c0416,51,2,2
c0416,51,3,0
c0420,50,1,4
c0420,50,4,4
c0420,51,2,3
c0441,50,2,4
c0441,50,4,3
c0441,51,0,1
c0447,37,1,4
c0447,38,0,3
c0447,38,2,2
c0456,50,3,1
c0456,50,3,2
c0456,50,3,3
c0457,50,0,2
c0457,50,1,3
c0457,50,2,2
c0465,50,0,3
c0465,50,1,1
c0465,Er1,1,4
c0486,37,1,2
c0486,37,2,2
c0486,37,1,3
c0491,38,4,4
c0491,51,3,4
c0491,51,4,3
c0498,37,0,4
c0498,37,3,0
c0498,37,4,1
c0501,38,1,4
c0501,38,3,0
c0501,DS2,0,3
c0506,38,0,4
c0506,38,3,3
c0506,51,1,4
c0527,37,2,4
c0527,37,3,4
c0527,37,4,0
c0510,50,0,0
c0510,50,1,0
c0510,50,2,0
c0510,50,3,0
c0510,50,0,1
c0798,36,4,3
c0798,37,0,0
c0798,37,1,0
c0798,37,2,0
c0798,36,4,4
c0670,37,3,2
c0670,37,4,2
c0670,38,2,4
c0738,37,2,3
c0738,38,3,1
c0738,38,3,2
c0745,37,0,3
c0745,37,1,1
c0745,37,2,1
c0773,38,0,2
c0773,38,4,2
c0773,F,4,3
c0814,51,4,2
c0814,52,1,4
c0814,52,2,2
c0815,51,4,1
c0815,52,3,2
c0815,DS2,1,0
c0828,38,4,1
c0828,51,1,0
c0828,51,2,1
c0844,37,0,2
c0844,38,1,0
c0844,38,4,3
c0741,A,0,0
c0741,A,1,0
c0741,A,2,0
c0741,A,4,0
c0741,A,0,1
c0741,A,0,2
c0845,50,2,3
c0845,50,3,4
c0845,51,4,0
c0850,51,3,3
c0850,51,3,2
c0850,51,3,1
c0851,52,0,1
c0851,52,1,1
c0851,52,2,0
c0854,34,2,3
c0854,34,3,0
c0854,34,2,4
c0854,34,3,1
c0854,34,3,2
c0854,34,3,3
c0854,34,3,4
c0856,25,4,1
c0856,34,0,0
c0856,25,4,2
c0856,25,4,3
c0856,25,4,4
c0856,34,0,1
c0856,34,0,2
c0864,36,3,1
c0864,36,4,0
c0864,36,3,2
c0864,36,3,3
c0864,36,3,4
c0864,36,4,1
c0864,36,4,2
c0866,27,4,1
c0866,34,0,3
c0866,27,4,2
c0866,27,4,3
c0866,27,4,4
c0866,34,0,4
c0866,34,1,0
c0869,34,1,1
c0869,34,2,0
c0869,34,1,2
c0869,34,1,3
c0869,34,1,4
c0869,34,2,1
c0869,34,2,2
c0882,36,0,2
c0882,36,1,0
c0882,36,0,3
c0882,36,0,4
c0882,36,1,1
c0882,36,1,2
c0882,N,2,0
c0884,27,1,2
c0884,27,2,0
c0884,27,1,3
c0884,27,1,4
c0884,27,2,1
c0884,27,2,2
c0884,27,2,3
c0898,52,1,0
c0898,DS2,0,0
c0898,DS2,2,3
c0901,F,1,4
c0901,F,2,0
c0901,F,0,2
c0933,37,3,3
c0933,52,0,0
c0933,52,2,1
c0947,36,1,4
c0947,36,2,0
c0947,36,2,1
c0947,36,2,2
c0947,36,2,3
c0947,36,2,4
c0947,36,3,0
c0953,25,0,0
c0953,25,1,0
c0953,25,0,1
c0953,DS2,3,1
c0953,25,0,3
c0953,25,0,4
c0953,25,1,1
c0969,25,1,2
c0969,25,2,0
c0969,25,1,3
c0969,25,1,4
c0969,25,2,1
c0969,25,2,2
c0969,25,2,3
c0972,34,4,0
c0972,50,2,1
c0972,34,4,1
c0972,34,4,2
c0972,34,4,3
c0972,34,4,4
c0972,36,0,1
c0978,27,2,4
c0978,27,3,0
c0978,27,3,1
c0978,27,3,2
c0978,27,3,3
c0978,27,3,4
c0978,27,4,0
c0985,25,2,4
c0985,25,3,0
c0985,25,3,1
c0985,25,3,2
c0985,25,3,3
c0985,25,3,4
c0985,25,4,0
c1007,D,0,0
c1007,D,2,2
c1007,D,3,3
c1044,27,0,0
c1044,27,1,0
c1044,27,0,1
c1044,27,0,2
c1044,27,0,3
c1044,27,0,4
c1044,27,1,1
c1148,38,2,0
c1148,38,4,0
c1148,51,0,4
c0196,A,0,3
c0196,A,1,1
c0196,A,2,1
c0196,A,3,0
c0196,A,0,4
c0196,A,1,2
