course_code,course_title,lecturer_id,room_id,day,period
SOC313,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,0,0
SOC313,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,1,0
IRL113,Introduction to International Relations,LECTURER_IRL_3,R-DEFAULT-2,3,2
IRL113,Introduction to International Relations,LECTURER_IRL_3,R-DEFAULT-2,4,1
IRL414,Diplomatic Studies,LECTURER_IRL_3,R-DEFAULT-2,1,5
IRL414,Diplomatic Studies,LECTURER_IRL_3,R-DEFAULT-2,2,4
PSY332,Research Methods in Psychology,LECTURER_PSY_4,R-DEFAULT-1,0,1
PSY332,Research Methods in Psychology,LECTURER_PSY_4,R-DEFAULT-1,1,1
SOC332,Social Theory,LECTURER_SOC_4,R-DEFAULT-1,0,1
SOC332,Social Theory,LECTURER_SOC_4,R-DEFAULT-1,1,1
SOC417,Introduction to Sociology,LECTURER_SOC_2,R-DEFAULT-1,0,1
SOC417,Introduction to Sociology,LECTURER_SOC_2,R-DEFAULT-1,1,1
EHR218,Special Topics in EHR,LECTURER_EHR_1,R-DEFAULT-1,0,1
EHR218,Special Topics in EHR,LECTURER_EHR_1,R-DEFAULT-1,1,1
IRL411,Foreign Policy Analysis,LECTURER_IRL_4,R-DEFAULT-1,0,1
PRE416,Special Topics in PRE,LECTURER_PRE_1,R-DEFAULT-3,4,2
PRE416,Special Topics in PRE,LECTURER_PRE_1,R-DEFAULT-3,4,3
CMS312,Entrepreneurship,LECTURER_CMS_4,R-DEFAULT-1,0,0
CMS312,Entrepreneurship,LECTURER_CMS_4,R-DEFAULT-1,1,0
SOC411,Research Methods in Sociology,LECTURER_SOC_4,R-DEFAULT-1,0,0
SOC411,Research Methods in Sociology,LECTURER_SOC_4,R-DEFAULT-1,1,0
PSY116,Research Methods in Psychology,LECTURER_PSY_2,R-DEFAULT-1,0,1
PSY116,Research Methods in Psychology,LECTURER_PSY_2,R-DEFAULT-1,1,1
PSS113,Special Topics in PSS,LECTURER_PSS_3,R-DEFAULT-1,0,2
PSS113,Special Topics in PSS,LECTURER_PSS_3,R-DEFAULT-1,1,2
SOC418,Social Theory,LECTURER_SOC_3,R-DEFAULT-1,0,2
SOC418,Social Theory,LECTURER_SOC_3,R-DEFAULT-1,1,2
ENG331,Engineering Design,LECTURER_ENG_5,R-DEFAULT-1,0,0
ENG331,Engineering Design,LECTURER_ENG_5,R-DEFAULT-1,1,0
SOC412,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,2,0
SOC412,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,3,0
EHR314,Special Topics in EHR,LECTURER_EHR_2,R-DEFAULT-1,0,0
EHR314,Special Topics in EHR,LECTURER_EHR_2,R-DEFAULT-1,1,0
EHR111,Special Topics in EHR,LECTURER_EHR_1,R-DEFAULT-1,0,0
EHR111,Special Topics in EHR,LECTURER_EHR_1,R-DEFAULT-1,1,0
FRE332,Special Topics in FRE,LECTURER_FRE_4,R-DEFAULT-1,0,0
FRE332,Special Topics in FRE,LECTURER_FRE_4,R-DEFAULT-1,1,0
PSS412,Special Topics in PSS,LECTURER_PSS_1,R-DEFAULT-1,0,1
PSY213,Developmental Psychology,LECTURER_PSY_4,R-DEFAULT-1,2,0
PSY213,Developmental Psychology,LECTURER_PSY_4,R-DEFAULT-1,3,0
PSY418,Research Methods in Psychology,LECTURER_PSY_3,R-DEFAULT-1,0,1
PSY418,Research Methods in Psychology,LECTURER_PSY_3,R-DEFAULT-1,1,1
HMD411,Special Topics in HMD,LECTURER_HMD_4,R-DEFAULT-1,0,0
PSY112,General Psychology,LECTURER_PSY_2,R-DEFAULT-1,0,0
PSY112,General Psychology,LECTURER_PSY_2,R-DEFAULT-1,1,0
IRL413,Global Governance,LECTURER_IRL_2,R-DEFAULT-1,0,0
IRL413,Global Governance,LECTURER_IRL_2,R-DEFAULT-1,1,4
PSI311,Introduction to Political Science,LECTURER_PSS_3,R-DEFAULT-1,0,0
PSI311,Introduction to Political Science,LECTURER_PSS_3,R-DEFAULT-1,1,0
PSS212,Special Topics in PSS,LECTURER_PSS_3,R-DEFAULT-1,0,1
PSS212,Special Topics in PSS,LECTURER_PSS_3,R-DEFAULT-1,1,1
POS115,Special Topics in POS,LECTURER_POS_1,R-DEFAULT-1,0,0
POS115,Special Topics in POS,LECTURER_POS_1,R-DEFAULT-1,1,0
PSI214,Comparative Politics,LECTURER_PSS_1,R-DEFAULT-1,0,0
PSI214,Comparative Politics,LECTURER_PSS_1,R-DEFAULT-1,1,0
SOC115,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,0,1
SOC115,Introduction to Sociology,LECTURER_SOC_1,R-DEFAULT-1,1,1
ACC317,Corporate Reporting,LECTURER_CMS_3,R-DEFAULT-1,0,1
PSY410,Cognitive Psychology,LECTURER_PSY_3,R-DEFAULT-1,0,2
PSY410,Cognitive Psychology,LECTURER_PSY_3,R-DEFAULT-1,1,2
PSS413,Special Topics in PSS,LECTURER_PSS_2,R-DEFAULT-1,0,0
PSI312,Political Theory,LECTURER_PSS_4,R-DEFAULT-1,0,1
IRL213,Foreign Policy Analysis,LECTURER_IRL_4,R-DEFAULT-1,0,0
IRL213,Foreign Policy Analysis,LECTURER_IRL_4,R-DEFAULT-1,1,0
EHR216,Special Topics in EHR,LECTURER_EHR_3,R-DEFAULT-1,0,0
EHR216,Special Topics in EHR,LECTURER_EHR_3,R-DEFAULT-1,1,0
ENG418,Engineering Drawing,LECTURER_ENG_3,R-DEFAULT-1,0,0
ENG418,Engineering Drawing,LECTURER_ENG_3,R-DEFAULT-1,1,0
ENG333,Engineering Mechanics,LECTURER_ENG_2,R-DEFAULT-1,0,1
ENG333,Engineering Mechanics,LECTURER_ENG_2,R-DEFAULT-1,1,1
ENG111,Engineering Drawing,LECTURER_ENG_3,R-DEFAULT-2,1,4
ENG111,Engineering Drawing,LECTURER_ENG_3,R-DEFAULT-2,2,2
PSY331,Social Psychology,LECTURER_PSY_3,R-DEFAULT-1,0,0
PSY331,Social Psychology,LECTURER_PSY_3,R-DEFAULT-1,1,0
PSY234,General Psychology,LECTURER_PSY_1,R-DEFAULT-1,0,0
PSY234,General Psychology,LECTURER_PSY_1,R-DEFAULT-1,1,0
PSY315,General Psychology,LECTURER_PSY_3,R-DEFAULT-1,2,0
PSY315,General Psychology,LECTURER_PSY_3,R-DEFAULT-1,3,0
MAT414,Calculus I,LECTURER_MAT_3,R-DEFAULT-1,0,4
TCH314,Special Topics in TCH,LECTURER_TCH_2,R-DEFAULT-1,0,0
CHE315,Fluid Mechanics,LECTURER_CHE_3,R-DEFAULT-1,0,1
CHE331,Process Control,LECTURER_CHE_3,R-DEFAULT-1,0,0
CHE331,Process Control,LECTURER_CHE_3,R-DEFAULT-1,1,0
CHE418,Process Design,LECTURER_CHE_3,R-DEFAULT-3,0,3
CHE418,Process Design,LECTURER_CHE_3,R-DEFAULT-3,1,3
CHE411,Plant Design,LECTURER_CHE_4,R-DEFAULT-1,0,4
CHE433,Heat Transfer,LECTURER_CHE_2,R-DEFAULT-1,0,2
CHE433,Heat Transfer,LECTURER_CHE_2,R-DEFAULT-1,1,2
CHE211,Reaction Engineering,LECTURER_CHE_2,R-DEFAULT-1,0,1
CHE211,Reaction Engineering,LECTURER_CHE_2,R-DEFAULT-1,1,1
CHE534,Reaction Engineering,LECTURER_CHE_4,R-DEFAULT-1,0,1
CHE534,Reaction Engineering,LECTURER_CHE_4,R-DEFAULT-1,1,1
CHE532,Heat Transfer,LECTURER_CHE_2,R-DEFAULT-1,0,0
CHE532,Heat Transfer,LECTURER_CHE_2,R-DEFAULT-1,1,0
PET419,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,0,0
PET419,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,1,0
PET312,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,1,3
PET418,Special Topics in PET,LECTURER_PET_3,R-DEFAULT-3,4,0
PET418,Special Topics in PET,LECTURER_PET_3,R-DEFAULT-3,4,1
CVE333,Special Topics in CVE,LECTURER_CVE_1,R-DEFAULT-1,0,0
CVE333,Special Topics in CVE,LECTURER_CVE_1,R-DEFAULT-1,1,0
CVE334,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-1,0,1
CVE334,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-1,1,1
CVE435,Special Topics in CVE,LECTURER_CVE_3,R-DEFAULT-2,3,3
CVE435,Special Topics in CVE,LECTURER_CVE_3,R-DEFAULT-2,4,2
CVE437,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-2,3,4
CVE437,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-2,4,3
CVE533,Special Topics in CVE,LECTURER_CVE_3,R-DEFAULT-2,3,5
CVE533,Special Topics in CVE,LECTURER_CVE_3,R-DEFAULT-2,4,4
CVE539,Special Topics in CVE,LECTURER_CVE_1,R-DEFAULT-1,0,1
CVE536,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-2,4,5
CVE536,Special Topics in CVE,LECTURER_CVE_2,R-DEFAULT-2,0,0
IMT311,Special Topics in IMT,LECTURER_IMT_3,R-DEFAULT-3,2,3
IMT311,Special Topics in IMT,LECTURER_IMT_3,R-DEFAULT-3,3,3
CEN513,Special Topics in CEN,LECTURER_CEN_3,R-DEFAULT-3,2,4
CEN513,Special Topics in CEN,LECTURER_CEN_3,R-DEFAULT-3,3,4
CEN510,Special Topics in CEN,LECTURER_CEN_4,R-DEFAULT-3,2,5
CEN510,Special Topics in CEN,LECTURER_CEN_4,R-DEFAULT-3,3,5
EEE531,Special Topics in EEE,LECTURER_EEE_1,R-DEFAULT-2,3,1
EEE531,Special Topics in EEE,LECTURER_EEE_1,R-DEFAULT-2,4,0
ICE512,Special Topics in ICE,LECTURER_ICE_2,R-DEFAULT-1,0,2
ICE516,Special Topics in ICE,LECTURER_ICE_2,R-DEFAULT-1,0,0
ICE518,Special Topics in ICE,LECTURER_ICE_4,R-DEFAULT-1,0,1
EIE431,Special Topics in EIE,LECTURER_EIE_4,R-DEFAULT-2,2,5
EIE431,Special Topics in EIE,LECTURER_EIE_4,R-DEFAULT-2,3,0
EIE317,Special Topics in EIE,LECTURER_EIE_1,R-DEFAULT-1,0,0
MCE312,Special Topics in MCE,LECTURER_MCE_4,R-DEFAULT-1,0,0
MCE312,Special Topics in MCE,LECTURER_MCE_4,R-DEFAULT-1,1,0
MEE111,Special Topics in MEE,LECTURER_MEE_1,R-DEFAULT-1,0,0
MCE536,Special Topics in MCE,LECTURER_MCE_2,R-DEFAULT-3,2,0
MCE536,Special Topics in MCE,LECTURER_MCE_2,R-DEFAULT-3,3,0
MCE533,Special Topics in MCE,LECTURER_MCE_3,R-DEFAULT-1,0,1
MCE533,Special Topics in MCE,LECTURER_MCE_3,R-DEFAULT-1,1,1
MCE418,Special Topics in MCE,LECTURER_MCE_3,R-DEFAULT-2,1,0
MCE418,Special Topics in MCE,LECTURER_MCE_3,R-DEFAULT-2,2,0
MCE552,Special Topics in MCE,LECTURER_MCE_2,R-DEFAULT-1,0,0
MCE552,Special Topics in MCE,LECTURER_MCE_2,R-DEFAULT-1,1,0
PET530,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,0,2
PET530,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,1,2
PET510,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,0,1
PET510,Special Topics in PET,LECTURER_PET_4,R-DEFAULT-1,1,1
PET531,Special Topics in PET,LECTURER_PET_1,R-DEFAULT-1,0,0
PET317,Special Topics in PET,LECTURER_PET_1,R-DEFAULT-1,0,1
PET533,Special Topics in PET,LECTURER_PET_3,R-DEFAULT-1,0,3
GEC210,Special Topics in GEC,LECTURER_GEC_1,R-DEFAULT-1,0,0
GEC410,Special Topics in GEC,LECTURER_GEC_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
GEC410,Special Topics in GEC,LECTURER_GEC_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
GET232,Special Topics in GET,LECTURER_GET_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
GET232,Special Topics in GET,LECTURER_GET_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
ESM431,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,0,4
ESM431,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,1,4
ESM315,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,0,4
ESM315,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,1,4
BCH452,Special Topics in BCH,LECTURER_BCH_1,R-DEFAULT-1,0,2
BCH452,Special Topics in BCH,LECTURER_BCH_1,R-DEFAULT-1,1,0
BCH211,Special Topics in BCH,LECTURER_BCH_2,R-DEFAULT-1,3,4
BCH211,Special Topics in BCH,LECTURER_BCH_2,R-DEFAULT-1,4,4
BCH211,Special Topics in BCH,LECTURER_BCH_2,R-DEFAULT-2,0,3
BCH318,Special Topics in BCH,LECTURER_BCH_2,R-DEFAULT-1,0,4
BCH318,Special Topics in BCH,LECTURER_BCH_2,R-DEFAULT-1,1,3
BIO312,Special Topics in BIO,LECTURER_BIO_4,R-DEFAULT-1,0,0
BIO312,Special Topics in BIO,LECTURER_BIO_4,R-DEFAULT-1,1,0
BIO331,Special Topics in BIO,LECTURER_BIO_3,R-DEFAULT-1,2,2
BIO331,Special Topics in BIO,LECTURER_BIO_3,R-DEFAULT-1,3,2
BIO319,Special Topics in BIO,LECTURER_BIO_3,R-DEFAULT-1,2,1
BIO319,Special Topics in BIO,LECTURER_BIO_3,R-DEFAULT-1,3,1
BIO416,Special Topics in BIO,LECTURER_BIO_1,R-DEFAULT-1,0,1
BIO416,Special Topics in BIO,LECTURER_BIO_1,R-DEFAULT-1,1,1
CHM471,Special Topics in CHM,LECTURER_CHM_4,R-DEFAULT-1,0,1
CHM471,Special Topics in CHM,LECTURER_CHM_4,R-DEFAULT-1,1,1
ICH317,Special Topics in ICH,LECTURER_ICH_1,R-DEFAULT-1,0,2
ICH317,Special Topics in ICH,LECTURER_ICH_1,R-DEFAULT-1,1,1
CIT211,Special Topics in CIT,LECTURER_CIT_2,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
CSC335,Artificial Intelligence,LECTURER_CSC_3,R-DEFAULT-1,0,0
CSC335,Artificial Intelligence,LECTURER_CSC_3,R-DEFAULT-1,1,0
CYB211,Special Topics in CYB,LECTURER_CYB_2,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
INS312,Special Topics in INS,LECTURER_INS_4,R-DEFAULT-3,0,0
INS312,Special Topics in INS,LECTURER_INS_4,R-DEFAULT-3,1,0
PHY417,Special Topics in PHY,LECTURER_PHY_2,R-DEFAULT-1,0,1
PHY417,Special Topics in PHY,LECTURER_PHY_2,R-DEFAULT-1,1,1
PHY431,Special Topics in PHY,LECTURER_PHY_4,R-DEFAULT-1,0,3
PHY431,Special Topics in PHY,LECTURER_PHY_4,R-DEFAULT-1,1,3
STA111,Statistical Inference,LECTURER_MAT_1,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
STA111,Statistical Inference,LECTURER_MAT_1,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
DTS314,Special Topics in DTS,LECTURER_DTS_1,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
DTS314,Special Topics in DTS,LECTURER_DTS_1,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
IFT211,Special Topics in IFT,LECTURER_IFT_2,R-DEFAULT-1,0,0
IFT211,Special Topics in IFT,LECTURER_IFT_2,R-DEFAULT-1,1,0
MTH212,Special Topics in MTH,LECTURER_MTH_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
MTH212,Special Topics in MTH,LECTURER_MTH_3,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
CSC231,Data Structures,LECTURER_CSC_6,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
CSC231,Data Structures,LECTURER_CSC_6,UNSCHEDULED,UNSCHEDULED,UNSCHEDULED
MAT112,Numerical Analysis,LECTURER_MAT_2,R-DEFAULT-1,0,3
MAT112,Numerical Analysis,LECTURER_MAT_2,R-DEFAULT-1,1,3
MAT415,Calculus II,LECTURER_MAT_4,R-DEFAULT-1,0,5
MAT433,Calculus II,LECTURER_MAT_2,R-DEFAULT-1,2,0
MAT432,Calculus I,LECTURER_MAT_1,R-DEFAULT-1,2,1
ESM111,Special Topics in ESM,LECTURER_ESM_1,R-DEFAULT-1,0,0
ESM111,Special Topics in ESM,LECTURER_ESM_1,R-DEFAULT-1,1,0
ESM513,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,2,1
ESM513,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,3,1
CHM313,Special Topics in CHM,LECTURER_CHM_1,R-DEFAULT-1,0,1
CHM313,Special Topics in CHM,LECTURER_CHM_1,R-DEFAULT-1,1,1
CHM234,Special Topics in CHM,LECTURER_CHM_1,R-DEFAULT-1,1,0
CHM412,Special Topics in CHM,LECTURER_CHM_1,R-DEFAULT-1,0,2
CHM412,Special Topics in CHM,LECTURER_CHM_1,R-DEFAULT-1,1,2
CSC317,Artificial Intelligence,LECTURER_CSC_3,R-DEFAULT-1,0,1
CSC317,Artificial Intelligence,LECTURER_CSC_3,R-DEFAULT-1,1,1
MAT216,Calculus I,LECTURER_MAT_3,R-DEFAULT-1,0,0
BCH212,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,0,4
BCH212,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,1,2
BCH351,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,3,3
BCH351,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,4,3
BCH351,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-2,0,2
BUD314,Special Topics in BUD,LECTURER_BUD_2,R-DEFAULT-1,0,2
BUD314,Special Topics in BUD,LECTURER_BUD_2,R-DEFAULT-1,1,2
FIN416,Special Topics in FIN,LECTURER_CMS_1,R-DEFAULT-1,0,0
FIN416,Special Topics in FIN,LECTURER_CMS_1,R-DEFAULT-1,1,0
ESM316,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,2,0
ESM316,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,3,0
CHM213,Special Topics in CHM,LECTURER_CHM_4,R-DEFAULT-1,2,0
FIN316,Special Topics in FIN,LECTURER_CMS_2,R-DEFAULT-1,0,1
ICH211,Special Topics in ICH,LECTURER_ICH_2,R-DEFAULT-1,0,0
BUD316,Special Topics in BUD,LECTURER_BUD_4,R-DEFAULT-1,0,3
BUD316,Special Topics in BUD,LECTURER_BUD_4,R-DEFAULT-1,1,3
BIO211,Special Topics in BIO,LECTURER_BIO_2,R-DEFAULT-1,0,0
BIO211,Special Topics in BIO,LECTURER_BIO_2,R-DEFAULT-1,1,0
BIO411,Special Topics in BIO,LECTURER_BIO_4,R-DEFAULT-1,0,4
MAT313,Advanced Mathematics,LECTURER_MAT_1,R-DEFAULT-1,1,3
MAT312,Probability Theory,LECTURER_MAT_4,R-DEFAULT-1,0,1
MAT312,Probability Theory,LECTURER_MAT_4,R-DEFAULT-1,1,1
BIO432,Special Topics in BIO,LECTURER_BIO_1,R-DEFAULT-1,0,3
BIO432,Special Topics in BIO,LECTURER_BIO_1,R-DEFAULT-1,1,3
BIO231,Special Topics in BIO,LECTURER_BIO_2,R-DEFAULT-1,0,1
BIO231,Special Topics in BIO,LECTURER_BIO_2,R-DEFAULT-1,1,1
ESM411,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,0,3
ESM411,Special Topics in ESM,LECTURER_ESM_4,R-DEFAULT-1,1,3
ESM317,Special Topics in ESM,LECTURER_ESM_1,R-DEFAULT-1,0,2
ESM317,Special Topics in ESM,LECTURER_ESM_1,R-DEFAULT-1,1,2
ESM414,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,0,2
ESM414,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,1,2
PHY319,Special Topics in PHY,LECTURER_PHY_3,R-DEFAULT-1,0,5
PHY319,Special Topics in PHY,LECTURER_PHY_3,R-DEFAULT-1,1,5
PHY319,Special Topics in PHY,LECTURER_PHY_3,R-DEFAULT-1,2,5
PHY316,Special Topics in PHY,LECTURER_PHY_4,R-DEFAULT-1,0,2
PHY316,Special Topics in PHY,LECTURER_PHY_4,R-DEFAULT-1,1,2
PHY218,Special Topics in PHY,LECTURER_PHY_1,R-DEFAULT-1,0,3
PHY218,Special Topics in PHY,LECTURER_PHY_1,R-DEFAULT-1,1,3
PHY218,Special Topics in PHY,LECTURER_PHY_1,R-DEFAULT-1,2,3
PHY314,Special Topics in PHY,LECTURER_PHY_2,R-DEFAULT-1,0,3
PHY314,Special Topics in PHY,LECTURER_PHY_2,R-DEFAULT-1,1,3
MCB317,Special Topics in MCB,LECTURER_MCB_1,R-DEFAULT-1,0,0
MCB317,Special Topics in MCB,LECTURER_MCB_1,R-DEFAULT-1,1,0
BUD218,Special Topics in BUD,LECTURER_BUD_1,R-DEFAULT-1,0,2
BUD218,Special Topics in BUD,LECTURER_BUD_1,R-DEFAULT-1,1,2
MCB319,Special Topics in MCB,LECTURER_MCB_3,R-DEFAULT-1,0,1
MCB319,Special Topics in MCB,LECTURER_MCB_3,R-DEFAULT-1,1,1
ESM212,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,0,0
ESM212,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,1,0
BIO336,Special Topics in BIO,LECTURER_BIO_4,R-DEFAULT-1,2,3
BIO336,Special Topics in BIO,LECTURER_BIO_4,R-DEFAULT-1,3,3
ESM517,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,2,2
ESM517,Special Topics in ESM,LECTURER_ESM_3,R-DEFAULT-1,3,2
ICH316,Special Topics in ICH,LECTURER_ICH_4,R-DEFAULT-1,0,3
ICH316,Special Topics in ICH,LECTURER_ICH_4,R-DEFAULT-1,1,0
BCH311,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,0,1
BCH311,Special Topics in BCH,LECTURER_BCH_3,R-DEFAULT-1,1,0
BLD317,Special Topics in BLD,LECTURER_BLD_1,R-DEFAULT-1,0,2
BLD317,Special Topics in BLD,LECTURER_BLD_1,R-DEFAULT-1,1,2
