course_id,room_id,day,period
c0131,A,4,4
c0131,B,0,4
c0131,B,2,4
c0211,D,0,0
c0211,L,2,0
c0211,D,4,0
c0095,52,0,0
c0095,52,2,1
c0095,DS1,1,0
c0152,D,1,2
c0152,D,2,3
c0152,D,3,0
c0103,A,4,3
c0103,E,0,4
c0103,E,3,3
c0111,B,4,4
c0111,E,3,4
c0111,F,0,1
c0113,A,4,2
c0113,L,1,2
c0113,L,1,0
c0115,L,2,3
c0115,L,1,1
c0115,L,2,1
c0119,50,2,2
c0119,50,3,3
c0119,50,4,3
c0127,52,4,1
c0127,L,3,0
c0127,F,2,0
c0007,36,2,1
c0007,36,3,1
c0007,36,4,1
c0015,31,4,1
c0015,36,0,2
c0015,36,1,3
c0019,38,1,1
c0019,38,2,1
c0019,38,3,1
c0020,31,1,4
c0020,36,0,4
c0020,36,3,3
c0023,B,1,3
c0023,D,3,3
c0023,E,2,2
c0080,36,4,2
c0080,37,0,0
c0080,37,1,0
c0088,A,4,1
c0088,B,0,1
c0088,B,1,2
c0088,B,2,2
c0088,G,0,4
c0044,DS1,0,0
c0044,DS1,2,1
c0044,DS1,3,0
c0110,E,1,4
c0110,B,0,3
c0110,B,2,1
c0058,D,3,1
c0058,E,2,3
c0058,D,2,4
c0061,B,4,0
c0061,B,3,2
c0061,D,2,2
c0066,36,2,0
c0066,37,0,1
c0066,36,1,4
c0074,50,0,0
c0074,G,0,1
c0074,G,0,2
c0213,E,3,0
c0213,F,2,1
c0213,G,4,1
c0219,B,0,2
c0219,DS1,2,0
c0219,52,0,1
c0178,B,0,0
c0178,B,2,0
c0178,D,1,0
c0186,A,2,4
c0186,B,4,1
c0186,D,3,2
c0193,52,3,2
c0193,52,4,3
c0193,52,2,3
c0108,52,3,1
c0108,52,4,0
c0108,DS1,1,1
c0056,DS1,4,1
c0056,DS2,1,0
c0056,DS2,2,0
c0195,E,4,0
c0195,B,3,4
c0195,D,0,1
c0206,D,1,1
c0206,E,2,1
c0206,D,4,1
c0467,36,0,1
c0467,36,2,2
c0467,36,1,0
c0129,E,4,1
c0129,E,4,2
c0129,E,4,3
c0155,27,0,0
c0155,27,0,1
c0155,27,0,2
c0155,27,0,3
c0155,G,3,4
c0155,27,1,0
c0155,27,1,1
c0156,F,0,0
c0156,27,1,3
c0156,27,1,4
c0156,27,2,0
c0156,27,2,1
c0156,L,4,1
c0156,A,0,3
c0157,52,2,0
c0157,52,0,3
c0157,27,3,1
c0157,27,3,2
c0157,27,3,3
c0157,27,3,4
c0157,27,4,0
c0252,D,0,2
c0252,G,1,1
c0252,D,1,3
c0266,G,1,3
c0266,B,1,4
c0266,D,0,3
c0238,E,0,1
c0238,E,1,0
c0238,E,3,1
c0279,E,2,0
c0279,B,4,2
c0279,B,4,3
c0076,31,2,3
c0076,F,3,1
c0076,31,4,4
c0470,37,2,2
c0470,50,4,2
c0470,38,0,1
c0009,36,2,3
c0009,36,3,4
c0009,37,4,0
c0217,D,4,2
c0217,E,0,3
c0217,F,1,2
c0230,G,3,0
c0230,D,1,4
c0230,F,0,4
c0201,L,0,2
c0201,B,3,1
c0201,B,3,0
c0552,F,1,1
c0552,F,0,2
c0552,F,2,3
c0480,36,4,0
c0480,36,2,4
c0480,36,3,0
c0054,D,0,4
c0054,A,1,2
c0054,A,2,2
c0054,G,2,2
c0054,E,3,2
c0455,37,4,1
c0455,38,3,0
c0455,37,3,2
c0602,37,1,3
c0602,38,0,4
c0602,37,2,3
c0559,36,4,3
c0559,37,1,4
c0559,37,3,1
c0069,DS1,3,1
c0069,DS1,4,0
c0069,DS2,0,1
c0295,31,3,3
c0295,50,2,3
c0295,36,0,0
c0295,36,1,1
c0295,31,3,4
c0288,DS2,3,1
c0288,DS2,1,4
c0288,DS2,1,3
c0297,31,0,2
c0297,DS2,0,0
c0297,52,1,1
c0297,31,3,2
c0297,31,2,4
c0302,50,2,4
c0302,50,3,0
c0302,D,2,0
c0311,31,4,3
c0311,37,0,4
c0311,37,2,0
c0313,DS2,3,4
c0313,37,1,1
c0313,37,2,1
c0314,36,4,4
c0314,37,2,4
c0314,38,0,0
c0310,L,3,2
c0310,L,3,3
c0310,L,3,4
c0315,37,3,0
c0315,37,4,2
c0315,37,4,3
c0316,38,2,4
c0316,38,3,2
c0316,B,2,3
c0298,52,0,4
c0298,52,1,0
c0298,DS1,2,2
c0298,52,3,0
c0298,52,1,2
c0304,27,4,3
c0304,31,0,1
c0304,31,1,0
c0304,31,2,0
c0304,27,4,4
c0346,A,0,0
c0346,A,1,0
c0346,A,2,0
c0346,A,3,0
c0346,A,0,1
c0379,50,4,1
c0379,50,1,0
c0379,DS2,2,1
c0366,31,0,3
c0366,DS2,0,4
c0366,31,2,2
c0366,31,3,1
c0366,31,0,4
c0391,F,2,2
c0391,F,4,3
c0391,F,1,3
c0386,A,3,4
c0386,L,0,1
c0386,L,0,0
c0638,L,4,0
c0638,A,3,3
c0638,A,1,4
c0638,L,1,3
c0322,50,0,1
c0322,50,1,2
c0322,50,2,0
c0322,50,3,1
c0322,50,1,3
c0323,B,1,0
c0323,B,3,3
c0323,D,2,1
c0326,D,4,4
c0326,G,4,3
c0326,G,2,3
c0327,D,3,4
c0327,E,1,1
c0327,F,4,1
c0336,DS2,1,1
c0336,DS2,0,3
c0336,DS2,0,2
c0337,G,2,1
c0337,G,1,0
c0337,G,3,3
c0307,31,3,0
c0307,31,4,2
c0307,31,0,0
c0307,36,1,2
c0307,A,0,4
c0633,A,0,2
c0633,A,1,1
c0633,A,2,1
c0633,A,3,1
c0633,G,0,3
c0368,36,0,3
c0368,36,3,2
c0368,L,2,2
c0388,27,4,1
c0388,50,0,2
c0388,50,1,1
c0388,50,2,1
c0388,27,4,2
